target,text
p,3 inches? liar !!!!  #3wordsaftersex ha ha ha ha 
n,@DisneyMadXx heyyy Jade :0 I saw your comment on facebook saying that your not going to london for the day cause of your sister  Poor you!
p,@Andreaheartscgh @Catherine_andy Remember to youtube Zodiac show crawl thru fire  so hot man
p,"@DAY26addict Yeah, I was the 3rd person to sign it "
p,"today is a awesome day , like it was yesterday , like yay "
n,"I'm Automysophobic, someone talk to me "
p,@LeeAnnAnderson isnt it!!? Totally rocks!! 
p,"11 days until i get my license, and 11 days until the summer "
p,watching Fawlty Towers... love it 
p,Skittles...feeling kinda crazy hi @Msflyty  I'm in a sharing mood.
p,@kirstyrawrr ohhh true im only following 24 people 
p,ha i love you demz  i can't wait until we hang out =]
p,"@Kenny_Wallace Hi from currently Michigan, but actually Cincinnati Ohio.  LOL"
n,@keka2806 ohh  and where are you seeking that?
n,@LeeMifsud Damn you and your girl. Mine went home today 
n,ah rain is brutal --headache  naaaap
p,"@Shaoen Continue if you must, but let go if it hurts "
n,@dcvirginia I was sooo disappointed  But I had to eat the other one....it was just callin my name
n,i'm so homesick  fortunately I get home today
n,i miss you sister 
p,@LucasCruikshank that movie's great!!! Enjoy it 
n,"With Mother's Day looming, I am missing my momma more than usual.      What I'd give to have her here for just one day!  &lt;3"
p,Got retrenchment notices yesterday 
p,Finished painting the bathroom this morning. scratch another thing off the to do list. 
n,bored. out of my mind. my throat hurts. 
p,@Larissa_SG Ah lol. Thank goodnes for @FSteven. 
n,someone stole my purse 
p,"@Unusual_Peanut I saw that and responded  My first DM btw, I got a bit excited, lol."
p,wont to no y i cant upload a pic peeps HELP plz 
p,Good Night Twitts. Catch up with ya'll tomorrow 
p,"@bermudaonion Thanks  I tried to read, but was too tired. Had to take advantage of the &quot;free time&quot; before I got home."
n,off to see the getaway plan tonight...one of the last gigs EVER 
n,So happy! cuz u talked with my bff @lisahopecyrus gosh i missed her so bad but right now i can't talk!  but later i'll talk with her
p,@bramus Am lso seriously addicted.Poor @aaronbassett keeps getting his phone stolen so i can play it.HIghest score now is 113 
p,@AdamFans Hey!  Guess what? Adam has his own profile on twitter. Check it out and follow him! Here's the link: twitter.com/TheAdamLambert
n,@rakowskid so... are you rested up yet?  i woke up at 6am 
n,"I WOULD LIKE TO GO TO LONDON NOWWWWWWW  they take the piss at getting ready, dad said be up @ 8 and i was the only one set my allarm aswel"
p,Watchin the best musical ever..... Grease 
p,Thought Adventure Land was good.. not as good as Superbad 
n,I really wish I could go to Disneyland this summer 
p,@MissKeriBaby love youuu - have fun! mrs.petty  .. hope i still can call you that or that chanqed now ? lol
n,i think guys think i have RAYBEES OR SOMETHING its like its kara &quot;run run run&quot; maybe its the &quot;swine flu&quot;   heard of it in here?? scary!
n,Aiiieeeee (in a sad way) I lost my camera!  Im sad now....
p,@adamcarolla just sent HBO a request to put The Hammer into heavy rotation. Now if I could just get HBO in Prague. 
p,"My father's 83rd birthday today.  Happy, healthy, and going strong "
n,"@RussyRhubarb A new twitter name without telling me? Boo. By the way, I think Oberon is dead  Haven't seen him for ages..."
p,@joannabphoto that im sure of haha 
p,!sells wii nothing good coming for the damn thing lol 
p,@andymoo Try to sport once and awhile instead of sitting behind your computer 
n,"Packing, and cleaning. So tired "
p,Love the weekends now that there's nothing hanging over my head for Monday! 
p,@ryan_leslie borrow your car??? send one my way in miami! 
p,HELP ME GET 2 100 FOLLOWERS 2NITE!!  D-Day Andrew Marr Goodnight Jay-Z Twilight Sims 3 Palm Pre Star Trek Drag Me To Hell Australia
n,@mynameisalbert oh...... I missed it 
